DL/UL	time	tbSize	SINR(dB)
DL	4.2028	2126	412.878
DL	401.279	2126	470.201
DL	4.0128	2126	411.637
DL	402.279	2126	476.668
DL	4.0228	2126	41.438
DL	403.279	2126	473.306
DL	4.0328	2126	414.527
DL	404.279	2126	478.514
DL	4.0428	2126	41.507
DL	405.279	2126	473.853
DL	4.0528	2126	418.215
DL	406.279	2126	476.443
DL	4.0628	2126	412.434
DL	407.279	2126	478.776
DL	4.0728	2126	40.808
DL	408.279	2126	483.375
DL	4.0828	2126	406.895
DL	409.279	2126	474.332
DL	4.0928	2126	41.662
DL	410.279	2126	474.356
DL	4.1028	2126	416.924
DL	411.279	2126	47.199
DL	4.1128	2126	420.727
DL	412.279	2126	475.641
DL	4.1228	2126	415.367
DL	413.279	2126	481.377
DL	4.1328	2126	417.102
DL	414.279	2126	484.069
DL	4.1428	2126	410.917
DL	415.279	2126	484.393
DL	4.1528	2126	409.357
DL	416.279	2126	483.467
DL	4.1628	2126	405.014
DL	417.279	2126	485.442
DL	4.1728	2126	405.271
DL	418.279	2126	486.342
DL	4.1828	2126	411.989
DL	419.279	2126	486.877
DL	4.1928	2126	40.211
DL	420.279	2126	484.654
DL	4.2028	2126	401.962
DL	421.279	2126	480.571
DL	4.2128	2126	405.147
DL	422.279	2126	477.532
DL	4.2228	2126	400.598
DL	423.279	2126	486.603
DL	4.2328	2126	40.458
DL	424.279	2126	485.137
DL	4.2428	2126	400.042
DL	425.279	2126	477.327
DL	4.2528	2126	403.568
DL	426.279	2126	475.983
DL	4.2628	2126	408.825
DL	427.279	2126	476.063
DL	4.2728	2126	412.011
DL	428.279	2126	472.051
DL	4.2828	2126	412.606
DL	429.279	2126	47.538
DL	4.2928	2126	409.045
DL	430.279	2126	468.898
DL	4.3028	2126	418.905
DL	431.279	2126	462.889
DL	4.3128	2126	415.655
DL	432.279	2126	465.415
DL	4.3228	2126	412.302
DL	433.279	2126	469.879
DL	4.3328	2126	408.538
DL	434.279	2126	468.029
DL	4.3428	2126	420.441
DL	435.279	2126	468.616
DL	4.3528	2126	431.403
DL	436.279	2126	467.794
DL	4.3628	2126	432.127
DL	437.279	2126	466.144
DL	4.3728	2126	426.046
DL	438.279	2126	470.659
DL	4.3828	2126	418.528
DL	439.279	2126	469.795
DL	4.3928	2126	424.072
DL	440.279	2126	465.787
DL	4.4028	2126	427.136
DL	441.279	2126	464.912
DL	4.4128	2126	432.886
DL	442.279	2126	463.037
DL	4.4228	2126	429.206
DL	443.279	2126	465.503
DL	4.4328	2126	433.929
DL	444.279	2126	461.205
DL	4.4428	2126	440.075
DL	445.279	2126	451.494
DL	4.4528	2126	433.305
DL	446.279	2126	45.197
DL	4.4628	2126	43.732
DL	447.279	2126	452.266
DL	4.4728	2126	438.402
DL	448.279	2126	449.994
DL	4.4828	2126	43.507
DL	449.279	2126	448.345
DL	4.4928	2126	435.896
DL	450.279	2126	44.969
DL	4.5028	2126	438.525
DL	451.279	2126	447.833
DL	4.5128	2126	435.027
DL	452.279	2126	457.339
DL	4.5228	2126	435.811
DL	453.279	2126	457.821
DL	4.5328	2126	439.288
DL	454.279	2126	456.503
DL	4.5428	2126	448.153
DL	455.279	2126	459.195
DL	4.5528	2126	446.907
DL	456.279	2126	463.316
DL	4.5628	2126	441.039
DL	457.279	2126	463.821
DL	4.5728	2126	443.906
DL	458.279	2126	460.124
DL	4.5828	2126	440.801
DL	459.279	2126	462.243
DL	4.5928	2126	437.308
DL	460.279	2126	473.852
DL	4.6028	2126	441.478
DL	461.279	2126	468.305
DL	4.6128	2126	437.839
DL	462.279	2126	463.356
DL	4.6228	2126	437.997
DL	463.279	2126	467.768
DL	4.6328	2126	435.336
DL	464.279	2126	467.988
DL	4.6428	2126	438.103
DL	465.279	2126	461.936
DL	4.6528	2126	430.453
DL	466.279	2126	45.983
DL	4.6628	2126	433.515
DL	467.279	2126	461.393
DL	4.6728	2126	439.455
DL	468.279	2126	458.688
DL	4.6828	2126	449.827
DL	469.279	2126	458.838
DL	4.6928	2126	450.865
DL	470.279	2126	465.622
DL	4.7028	2126	451.755
DL	471.279	2126	463.313
DL	4.7128	2126	45.775
DL	472.279	2126	466.241
DL	4.7228	2126	449.924
DL	473.279	2126	474.658
DL	4.7328	2126	448.348
DL	474.279	2126	476.847
DL	4.7428	2126	443.743
DL	475.279	2126	48.08
DL	4.7528	2126	445.791
DL	476.279	2126	484.566
DL	4.7628	2126	450.343
DL	477.279	2126	481.781
DL	4.7728	2126	449.623
DL	478.279	2126	480.052
DL	4.7828	2126	455.157
DL	479.279	2126	47.536
DL	4.7928	2126	461.592
DL	480.279	2126	47.924
DL	4.8028	2126	466.633
DL	481.279	2126	482.414
